schemaname,tablename,column,type,encoding,distkey,sortkey,notnull
pg_catalog,padb_config_harvest,name,character(136),lzo,false,0,true
pg_catalog,padb_config_harvest,harvest,integer,lzo,false,0,true
pg_catalog,padb_config_harvest,archive,integer,lzo,false,0,true
pg_catalog,padb_config_harvest,directory,character(500),lzo,false,0,true
pg_catalog,pg_aggregate,aggfnoid,regproc,none,false,0,true
pg_catalog,pg_aggregate,aggtransfn,regproc,none,false,0,true
pg_catalog,pg_aggregate,aggfinalfn,regproc,none,false,0,true
pg_catalog,pg_aggregate,aggtranstype,oid,none,false,0,true
pg_catalog,pg_aggregate,agginitval,text,none,false,0,false
pg_catalog,pg_aggregate_fnoid_index,aggfnoid,regproc,none,false,0,false
pg_catalog,pg_am,amname,name,none,false,0,true
pg_catalog,pg_am,amowner,integer,none,false,0,true
pg_catalog,pg_am,amstrategies,smallint,none,false,0,true
pg_catalog,pg_am,amsupport,smallint,none,false,0,true
pg_catalog,pg_am,amorderstrategy,smallint,none,false,0,true
pg_catalog,pg_am,amcanunique,boolean,none,false,0,true
pg_catalog,pg_am,amcanmulticol,boolean,none,false,0,true
pg_catalog,pg_am,amindexnulls,boolean,none,false,0,true
pg_catalog,pg_am,amconcurrent,boolean,none,false,0,true
pg_catalog,pg_am,amgettuple,regproc,none,false,0,true
pg_catalog,pg_am,aminsert,regproc,none,false,0,true
pg_catalog,pg_am,ambeginscan,regproc,none,false,0,true
pg_catalog,pg_am,amrescan,regproc,none,false,0,true
pg_catalog,pg_am,amendscan,regproc,none,false,0,true
pg_catalog,pg_am,ammarkpos,regproc,none,false,0,true
pg_catalog,pg_am,amrestrpos,regproc,none,false,0,true
pg_catalog,pg_am,ambuild,regproc,none,false,0,true
pg_catalog,pg_am,ambulkdelete,regproc,none,false,0,true
pg_catalog,pg_am,amvacuumcleanup,regproc,none,false,0,true
pg_catalog,pg_am,amcostestimate,regproc,none,false,0,true
pg_catalog,pg_am_name_index,amname,name,none,false,0,false
pg_catalog,pg_am_oid_index,oid,oid,none,false,0,false
pg_catalog,pg_amop,amopclaid,oid,none,false,0,true
pg_catalog,pg_amop,amopsubtype,oid,none,false,0,true
pg_catalog,pg_amop,amopstrategy,smallint,none,false,0,true
pg_catalog,pg_amop,amopreqcheck,boolean,none,false,0,true
pg_catalog,pg_amop,amopopr,oid,none,false,0,true
pg_catalog,pg_amop_opc_strat_index,amopclaid,oid,none,false,0,false
pg_catalog,pg_amop_opc_strat_index,amopsubtype,oid,none,false,0,false
pg_catalog,pg_amop_opc_strat_index,amopstrategy,smallint,none,false,0,false
pg_catalog,pg_amop_opr_opc_index,amopopr,oid,none,false,0,false
pg_catalog,pg_amop_opr_opc_index,amopclaid,oid,none,false,0,false
pg_catalog,pg_amproc,amopclaid,oid,none,false,0,true
pg_catalog,pg_amproc,amprocsubtype,oid,none,false,0,true
pg_catalog,pg_amproc,amprocnum,smallint,none,false,0,true
pg_catalog,pg_amproc,amproc,regproc,none,false,0,true
pg_catalog,pg_amproc_opc_proc_index,amopclaid,oid,none,false,0,false
pg_catalog,pg_amproc_opc_proc_index,amprocsubtype,oid,none,false,0,false
pg_catalog,pg_amproc_opc_proc_index,amprocnum,smallint,none,false,0,false
pg_catalog,pg_attrdef,adrelid,oid,none,false,0,true
pg_catalog,pg_attrdef,adnum,smallint,none,false,0,true
pg_catalog,pg_attrdef,adbin,text,none,false,0,false
pg_catalog,pg_attrdef,adsrc,text,none,false,0,false
pg_catalog,pg_attrdef_adrelid_adnum_index,adrelid,oid,none,false,0,false
pg_catalog,pg_attrdef_adrelid_adnum_index,adnum,smallint,none,false,0,false
pg_catalog,pg_attrdef_oid_index,oid,oid,none,false,0,false
pg_catalog,pg_attribute,attrelid,oid,none,false,0,true
pg_catalog,pg_attribute,attname,name,none,false,0,true
pg_catalog,pg_attribute,atttypid,oid,none,false,0,true
pg_catalog,pg_attribute,attstattarget,integer,none,false,0,true
pg_catalog,pg_attribute,attlen,smallint,none,false,0,true
pg_catalog,pg_attribute,attnum,smallint,none,false,0,true
pg_catalog,pg_attribute,attndims,integer,none,false,0,true
pg_catalog,pg_attribute,attcacheoff,integer,none,false,0,true
pg_catalog,pg_attribute,atttypmod,integer,none,false,0,true
pg_catalog,pg_attribute,attbyval,boolean,none,false,0,true
pg_catalog,pg_attribute,attstorage,"char",none,false,0,true
pg_catalog,pg_attribute,attalign,"char",none,false,0,true
pg_catalog,pg_attribute,attnotnull,boolean,none,false,0,true
pg_catalog,pg_attribute,atthasdef,boolean,none,false,0,true
pg_catalog,pg_attribute,attisdropped,boolean,none,false,0,true
pg_catalog,pg_attribute,attislocal,boolean,none,false,0,true
pg_catalog,pg_attribute,attinhcount,integer,none,false,0,true
pg_catalog,pg_attribute,attisdistkey,boolean,none,false,0,true
pg_catalog,pg_attribute,attispreloaded,boolean,none,false,0,true
pg_catalog,pg_attribute,attsortkeyord,integer,none,false,0,true
pg_catalog,pg_attribute,attencodingtype,smallint,none,false,0,true
pg_catalog,pg_attribute,attencrypttype,smallint,none,false,0,true
pg_catalog,pg_attribute_relid_attnam_index,attrelid,oid,none,false,0,false
pg_catalog,pg_attribute_relid_attnam_index,attname,name,none,false,0,false
pg_catalog,pg_attribute_relid_attnum_index,attrelid,oid,none,false,0,false
pg_catalog,pg_attribute_relid_attnum_index,attnum,smallint,none,false,0,false
pg_catalog,pg_bar_ddllog,bar_ddllog_dboid,oid,none,false,0,true
pg_catalog,pg_bar_ddllog,bar_ddllog_xid,xid,none,false,0,true
pg_catalog,pg_bar_ddllog,bar_ddllog_txt,text,none,false,0,false
pg_catalog,pg_bar_ddllog,bar_ddllog_cmd,smallint,none,false,0,false
pg_catalog,pg_bar_ddllog,bar_ddllog_lng,smallint,none,false,0,false
pg_catalog,pg_bar_ddllog,bar_ddllog_oids,text,none,false,0,false
pg_catalog,pg_bar_ddllog,bar_ddllog_names,text,none,false,0,false
pg_catalog,pg_bar_ddllog,bar_ddllog_path,text,none,false,0,false
pg_catalog,pg_bar_repos,bar_repos_name,name,none,false,0,true
pg_catalog,pg_bar_repos,bar_repos_leader_path,text,none,false,0,false
pg_catalog,pg_bar_repos,bar_repos_data_paths,text[],none,false,0,false
pg_catalog,pg_bar_state,bar_state_dboid,oid,none,false,0,true
pg_catalog,pg_bar_state,bar_state_backup_name,text,none,false,0,false
pg_catalog,pg_bar_state,bar_state_restore_xid,xid,none,false,0,false
pg_catalog,pg_bar_state,bar_state_restore_suspension,boolean,none,false,0,false
pg_catalog,pg_cast,castsource,oid,none,false,0,true
pg_catalog,pg_cast,casttarget,oid,none,false,0,true
pg_catalog,pg_cast,castfunc,oid,none,false,0,true
pg_catalog,pg_cast,castcontext,"char",none,false,0,true
pg_catalog,pg_cast_oid_index,oid,oid,none,false,0,false
pg_catalog,pg_cast_source_target_index,castsource,oid,none,false,0,false
pg_catalog,pg_cast_source_target_index,casttarget,oid,none,false,0,false
pg_catalog,pg_class,relname,name,none,false,0,true
pg_catalog,pg_class,relnamespace,oid,none,false,0,true
pg_catalog,pg_class,reltype,oid,none,false,0,true
pg_catalog,pg_class,relowner,integer,none,false,0,true
pg_catalog,pg_class,relam,oid,none,false,0,true
pg_catalog,pg_class,relfilenode,oid,none,false,0,true
pg_catalog,pg_class,reltablespace,oid,none,false,0,true
pg_catalog,pg_class,relpages,integer,none,false,0,true
pg_catalog,pg_class,reltuples,real,none,false,0,true
pg_catalog,pg_class,reltoastrelid,oid,none,false,0,true
pg_catalog,pg_class,reltoastidxid,oid,none,false,0,true
pg_catalog,pg_class,relhasindex,boolean,none,false,0,true
